"name","phones","street","city","state","zipcode","categories","email","website","working_hours","payment_methods","extraction_date","original_listing_url"
Lic Plumbing Heating and Cooling,(718) 269-0235,"3798 Railroad Ave",Long Island City,NY,"11101","Air Conditioning Contractors & Systems, Heating Contractors & Specialties, Plumbers",plumbingheatingandcooling1@yahoo.com,http://licplumbingheatingandcoolingny.localsearch.com,,,2025-12-10,https://www.yellowpages.com/long-island-city-ny/mip/lic-plumbing-heating-and-cooling-479689064
Sunnyside Heating and Plumbing Services,(347) 389-0585,"4011 Greenpoint Ave",Sunnyside,NY,"11104",Plumbers,,http://sunnysideheatingandplumbingservices.localsearch.com,,,2025-12-10,https://www.yellowpages.com/sunnyside-ny/mip/sunnyside-heating-and-plumbing-services-520871098
P J Mechanical Corp,"(718) 729-1090, (718) 729-2779","3612 48th Ave",Long Island City,NY,"11101",Plumbers,,http://pjmechanical.com,,,2025-12-10,https://www.yellowpages.com/long-island-city-ny/mip/p-j-mechanical-corp-4203450
N & D Plumbing & Heating Corp,(718) 278-7100,"3051 32nd St",Astoria,NY,"11102","Air Conditioning Contractors & Systems, Heating Contractors & Specialties, Plumbers",,http://ndplumbingheatingcorp.localsearch.com,,,2025-12-10,https://www.yellowpages.com/astoria-ny/mip/n-d-plumbing-heating-corp-16213703
Twinco Supply Corp,"(212) 631-0555, (212) 631-0741, (800) 794-3188","522 W 36th St",New York,NY,"10018","Air Conditioning Contractors & Systems, Air Conditioning Equipment & Systems, Heating Contractors & Specialties, Major Appliances, Plumbers",,https://www.twincomfg.com,"Mon - Fri: 7:30 am - 5:00 pm, Mon - Fri: 7:30 am - 5:00 pm, Mon - Fri: 7:30 am - 5:00 pm, Mon - Fri: 7:30 am - 5:00 pm, Mon - Fri: 7:30 am - 5:00 pm, Mon - Fri: 7:30 am - 5:00 pm, Mon - Fri: 7:30 am - 5:00 pm, Mon - Fri: 7:30 am - 5:00 pm, Mon - Fri: 7:30 am - 5:00 pm, Mon - Fri: 7:30 am - 5:00 pm, Mon - Fri: 7:30 am - 5:00 pm, Mon - Fri: 7:30 am - 5:00 pm, Mon - Fri: 7:30 am - 5:00 pm, Mon - Fri: 7:30 am - 5:00 pm, Mon - Fri: 7:30 am - 5:00 pm, Mon - Fri: 7:30 am - 5:00 pm, Mon - Fri: 7:30 am - 5:00 pm, Mon - Fri: 7:30 am - 5:00 pm, Mon - Fri: 7:30 am - 5:00 pm, Mon - Fri: 7:30 am - 5:00 pm, Mon - Fri: 7:30 am - 5:00 pm, Mon - Fri: 7:30 am - 5:00 pm, Mon - Fri: 7:30 am - 5:00 pm, Mon - Fri: 7:30 am - 5:00 pm, Mon - Fri: 7:30 am - 5:00 pm, Mon - Fri: 7:30 am - 5:00 pm, Mon - Fri: 7:30 am - 5:00 pm, Mon - Fri: 7:30 am - 5:00 pm, Mon - Fri: 7:30 am - 5:00 pm, Mon - Fri: 7:30 am - 5:00 pm, Mon - Fri: 7:30 am - 5:00 pm, Mon - Fri: 7:30 am - 5:00 pm, Mon - Fri: 7:30 am - 5:00 pm, Mon - Fri: 7:30 am - 5:00 pm, Mon - Fri: 7:30 am - 5:00 pm, Mon - Fri: 7:30 am - 5:00 pm, Mon - Fri: 7:30 am - 5:00 pm, Mon - Fri: 7:30 am - 5:00 pm, Mon - Fri: 7:30 am - 5:00 pm, Mon - Fri: 7:30 am - 5:00 pm, Mon - Fri: 7:30 am - 5:00 pm, Mon - Fri: 7:30 am - 5:00 pm, Mon - Fri: 7:30 am - 5:00 pm, Mon - Fri: 7:30 am - 5:00 pm, Mon - Fri: 7:30 am - 5:00 pm","amex, master card, visa",2025-12-06,https://www.yellowpages.com/new-york-ny/mip/twinco-supply-corp-474258003
Downtown Plumbing,(866) 549-2072,"333 E 19th St",New York,NY,"10003",Plumbers,,http://yellowpages.com/new-york-ny/mip/rr-plumbing-roto-rooter-555941052,,"amex, debit, discover, master card, visa",2025-12-10,https://www.yellowpages.com/new-york-ny/mip/downtown-plumbing-1611917
Manhattan Dental,"(212) 777-7777, (212) 777-7778","826 Broadway Fl 8",New York,NY,"10003","Plumbers, Water Damage Emergency Service",main@nydental.com,http://manhattandental515851836.localsearch.com,"Fri: 8:00 am - 5:00 pm, Fri: 8:00 am - 5:00 pm, Fri: 8:00 am - 5:00 pm, Fri: 8:00 am - 5:00 pm, Fri: 8:00 am - 5:00 pm, Fri: 8:00 am - 5:00 pm, Fri: 8:00 am - 5:00 pm, Fri: 8:00 am - 5:00 pm, Fri: 8:00 am - 5:00 pm, Fri: 8:00 am - 5:00 pm, Fri: 8:00 am - 5:00 pm, Fri: 8:00 am - 5:00 pm, Fri: 8:00 am - 5:00 pm, Fri: 8:00 am - 5:00 pm, Fri: 8:00 am - 5:00 pm, Fri: 8:00 am - 5:00 pm, Fri: 8:00 am - 5:00 pm, Fri: 8:00 am - 5:00 pm, Fri: 8:00 am - 5:00 pm, Fri: 8:00 am - 5:00 pm, Fri: 8:00 am - 5:00 pm, Fri: 8:00 am - 5:00 pm, Fri: 8:00 am - 5:00 pm, Fri: 8:00 am - 5:00 pm, Fri: 8:00 am - 5:00 pm, Fri: 8:00 am - 5:00 pm, Fri: 8:00 am - 5:00 pm, Fri: 8:00 am - 5:00 pm, Fri: 8:00 am - 5:00 pm, Fri: 8:00 am - 5:00 pm, Fri: 8:00 am - 5:00 pm, Fri: 8:00 am - 5:00 pm, Sat: 10:00 am - 2:00 pm, Sat: 10:00 am - 2:00 pm, Sat: 10:00 am - 2:00 pm, Sat: 10:00 am - 2:00 pm, Sat: 10:00 am - 2:00 pm, Sat: 10:00 am - 2:00 pm, Sat: 10:00 am - 2:00 pm, Sat: 10:00 am - 2:00 pm, Sat: 10:00 am - 2:00 pm, Sat: 10:00 am - 2:00 pm, Sat: 10:00 am - 2:00 pm, Sat: 10:00 am - 2:00 pm, Sat: 10:00 am - 2:00 pm, Sat: 10:00 am - 2:00 pm, Sat: 10:00 am - 2:00 pm, Sat: 10:00 am - 2:00 pm, Sat: 10:00 am - 2:00 pm, Sat: 10:00 am - 2:00 pm, Sat: 10:00 am - 2:00 pm, Sat: 10:00 am - 2:00 pm, Sat: 10:00 am - 2:00 pm, Sat: 10:00 am - 2:00 pm, Sat: 10:00 am - 2:00 pm, Sat: 10:00 am - 2:00 pm, Sat: 10:00 am - 2:00 pm, Sat: 10:00 am - 2:00 pm, Sat: 10:00 am - 2:00 pm, Sat: 10:00 am - 2:00 pm, Sat: 10:00 am - 2:00 pm, Sat: 10:00 am - 2:00 pm, Sat: 10:00 am - 2:00 pm, Sat: 10:00 am - 2:00 pm, Thu: 6:00 am - 3:00 pm, Thu: 6:00 am - 3:00 pm, Thu: 6:00 am - 3:00 pm, Thu: 6:00 am - 3:00 pm, Thu: 6:00 am - 3:00 pm, Thu: 6:00 am - 3:00 pm, Thu: 6:00 am - 3:00 pm, Thu: 6:00 am - 3:00 pm, Thu: 6:00 am - 3:00 pm, Thu: 6:00 am - 3:00 pm, Thu: 6:00 am - 3:00 pm, Thu: 6:00 am - 3:00 pm, Thu: 6:00 am - 3:00 pm, Thu: 6:00 am - 3:00 pm, Thu: 6:00 am - 3:00 pm, Thu: 6:00 am - 3:00 pm, Thu: 6:00 am - 3:00 pm, Thu: 6:00 am - 3:00 pm, Thu: 6:00 am - 3:00 pm, Thu: 6:00 am - 3:00 pm, Thu: 6:00 am - 3:00 pm, Thu: 6:00 am - 3:00 pm, Thu: 6:00 am - 3:00 pm, Thu: 6:00 am - 3:00 pm, Thu: 6:00 am - 3:00 pm, Thu: 6:00 am - 3:00 pm, Thu: 6:00 am - 3:00 pm, Thu: 6:00 am - 3:00 pm, Thu: 6:00 am - 3:00 pm, Thu: 6:00 am - 3:00 pm, Thu: 6:00 am - 3:00 pm, Thu: 6:00 am - 3:00 pm, Tue - Wed: 8:00 am - 5:00 pm, Tue - Wed: 8:00 am - 5:00 pm, Tue - Wed: 8:00 am - 5:00 pm, Tue - Wed: 8:00 am - 5:00 pm, Tue - Wed: 8:00 am - 5:00 pm, Tue - Wed: 8:00 am - 5:00 pm, Tue - Wed: 8:00 am - 5:00 pm, Tue - Wed: 8:00 am - 5:00 pm, Tue - Wed: 8:00 am - 5:00 pm, Tue - Wed: 8:00 am - 5:00 pm, Tue - Wed: 8:00 am - 5:00 pm, Tue - Wed: 8:00 am - 5:00 pm, Tue - Wed: 8:00 am - 5:00 pm, Tue - Wed: 8:00 am - 5:00 pm, Tue - Wed: 8:00 am - 5:00 pm, Tue - Wed: 8:00 am - 5:00 pm, Tue - Wed: 8:00 am - 5:00 pm, Tue - Wed: 8:00 am - 5:00 pm, Tue - Wed: 8:00 am - 5:00 pm, Tue - Wed: 8:00 am - 5:00 pm, Tue - Wed: 8:00 am - 5:00 pm, Tue - Wed: 8:00 am - 5:00 pm, Tue - Wed: 8:00 am - 5:00 pm, Tue - Wed: 8:00 am - 5:00 pm, Tue - Wed: 8:00 am - 5:00 pm, Tue - Wed: 8:00 am - 5:00 pm, Tue - Wed: 8:00 am - 5:00 pm, Tue - Wed: 8:00 am - 5:00 pm, Tue - Wed: 8:00 am - 5:00 pm, Tue - Wed: 8:00 am - 5:00 pm, Tue - Wed: 8:00 am - 5:00 pm, Tue - Wed: 8:00 am - 5:00 pm","amex, cash, check, discover, financing available, master card, travelers checks, visa",2025-12-10,https://www.yellowpages.com/new-york-ny/mip/manhattan-dental-515851836
Ryan's Plumbing,(866) 992-2421,"1301 Avenue Of The Americas",New York,NY,"10019","Plumbers, Plumbing Contractors-Commercial & Industrial, Plumbing-Drain & Sewer Cleaning",,,"Mon - Sun: Open 24 Hours, Mon - Sun: Open 24 Hours, Mon - Sun: Open 24 Hours, Mon - Sun: Open 24 Hours, Mon - Sun: Open 24 Hours, Mon - Sun: Open 24 Hours","all major credit cards, cash",2025-12-06,https://www.yellowpages.com/new-york-ny/mip/ryans-plumbing-481554103
WaterHouse Toilet Repair,(212) 777-3002,"195 Stanton St",New York,NY,"10002","General Contractors, Home Improvements, Plumbers",,https://toiletrepair.nyc,"Mon - Sun: Open 24 Hours, Mon - Sun: Open 24 Hours, Mon - Sun: Open 24 Hours, Mon - Sun: Open 24 Hours, Mon - Sun: Open 24 Hours, Mon - Sun: Open 24 Hours, Mon - Sun: Open 24 Hours, Mon - Sun: Open 24 Hours, Mon - Sun: Open 24 Hours, Mon - Sun: Open 24 Hours, Mon - Sun: Open 24 Hours, Mon - Sun: Open 24 Hours, Mon - Sun: Open 24 Hours, Mon - Sun: Open 24 Hours, Mon - Sun: Open 24 Hours, Mon - Sun: Open 24 Hours, Mon - Sun: Open 24 Hours, Mon - Sun: Open 24 Hours, Mon - Sun: Open 24 Hours, Mon - Sun: Open 24 Hours, Mon - Sun: Open 24 Hours","amex, cash, check, debit, discover, master card, visa",2025-12-06,https://www.yellowpages.com/new-york-ny/mip/waterhouse-toilet-repair-566838491
Bedford Ave Air Conditioning,(929) 258-3386,"360 Bedford Ave",Brooklyn,NY,"11249","Air Conditioning Contractors & Systems, Heating Contractors & Specialties, Plumbers, Sewer Contractors",,http://bedfordaveairconditioning.localsearch.com,"Mon - Sun: Open 24 Hours, Mon - Sun: Open 24 Hours, Mon - Sun: Open 24 Hours, Mon - Sun: Open 24 Hours, Mon - Sun: Open 24 Hours, Mon - Sun: Open 24 Hours, Mon - Sun: Open 24 Hours, Mon - Sun: Open 24 Hours, Mon - Sun: Open 24 Hours, Mon - Sun: Open 24 Hours, Mon - Sun: Open 24 Hours, Mon - Sun: Open 24 Hours, Mon - Sun: Open 24 Hours, Mon - Sun: Open 24 Hours, Mon - Sun: Open 24 Hours, Mon - Sun: Open 24 Hours","all major credit cards, cash, check, debit",2025-12-10,https://www.yellowpages.com/brooklyn-ny/mip/bedford-ave-air-conditioning-505252359
Technical Plumbing And Heating,(718) 210-5672,"240 E 46th St",Brooklyn,NY,"11203","Air Conditioning Contractors & Systems, Heating Contractors & Specialties, Plumbers",,http://technicalplumbingandheating.info,,,2025-12-10,https://www.yellowpages.com/brooklyn-ny/mip/technical-plumbing-and-heating-461037685
E Houston Plumbing,(866) 846-2260,"50 E 42nd St",New York,NY,"10017",Plumbers,,http://yellowpages.com/new-york-ny/mip/fred-smith-plumbing-heating-co-inc-460765127,"Mon - Fri: 8:00 am - 5:00 pm, Mon - Fri: 8:00 am - 5:00 pm, Mon - Fri: 8:00 am - 5:00 pm","amex, master card, visa",2025-12-10,https://www.yellowpages.com/new-york-ny/mip/e-houston-plumbing-474870025
C 2 Plumbing,(212) 937-2598,"48 W 37th St Fl 9",New York,NY,"10018","Building Contractors-Commercial & Industrial, Plumbers, Road Building Contractors",andrewk@forevernew.com,http://c2plumbingny.localsearch.com,,,2025-12-10,https://www.yellowpages.com/new-york-ny/mip/c-2-plumbing-263053
Bannister Plumbing and Heating Service,(212) 293-0888,"135 W 50th St",New York,NY,"10020","Air Conditioning Contractors & Systems, Heating Contractors & Specialties, Plumbers",,http://bannisterplumbingandheatingservice.info,,,2025-12-10,https://www.yellowpages.com/new-york-ny/mip/bannister-plumbing-and-heating-service-535052082
John Trani Plumbing and Heating,(212) 366-5075,"17 W 20th St",New York,NY,"10011","Air Conditioning Contractors & Systems, Heating Contractors & Specialties, Plumbers",,,,,2025-12-06,https://www.yellowpages.com/new-york-ny/mip/john-trani-plumbing-and-heating-541655610
"10th St Plumbing Heating and Cooling",(718) 269-6799,"4305 10th St",Long Island City,NY,"11101","Air Conditioning Contractors & Systems, Heating Contractors & Specialties, Plumbers",,http://10thstplumbingheatingandcooling.localsearch.com,,,2025-12-10,https://www.yellowpages.com/long-island-city-ny/mip/10th-st-plumbing-heating-and-cooling-470060056
Ed Cece Plumbing & Heating Corp,(212) 777-1576,"138 Wooster St",New York,NY,"10012","Air Conditioning Contractors & Systems, Heating Contractors & Specialties, Plumbers",,http://edceceplumbingheatingcorp.localsearch.com,,,2025-12-10,https://www.yellowpages.com/new-york-ny/mip/ed-cece-plumbing-heating-corp-7021599
"0 1 24 Hour Emergency Plumbing",(646) 509-2240,"301 E 92nd St",New York,NY,"10128",Plumbers,,http://yellowpages.com/new-york-ny/mip/fred-smith-plumbing-heating-co-inc-460765127,"Mon - Fri: 8:00 am - 5:00 pm, Mon - Fri: 8:00 am - 5:00 pm, Mon - Fri: 8:00 am - 5:00 pm","amex, master card, visa",2025-12-10,https://www.yellowpages.com/new-york-ny/mip/0-1-24-hour-emergency-plumbing-579651498
Julian Plumbing & Heating Corp,(718) 392-4886,"4011 24th St",Long Island City,NY,"11101",Plumbers,,http://julianplumbingheatingcorp.localsearch.com,,,2025-12-10,https://www.yellowpages.com/long-island-city-ny/mip/julian-plumbing-heating-corp-451892108
Plumbing & Heating Coml Svc NY,(917) 828-8058,"480 Pearl St",New York,NY,"10007",Plumbers,,,,,2025-12-06,https://www.yellowpages.com/new-york-ny/mip/plumbing-heating-coml-svc-ny-462959988
Purity Process Restoration,"(212) 766-1432, (646) 541-7831","217 Broadway Rm 304",New York,NY,"10007",Plumbers,,http://purityprocessrestoration.localsearch.com,,"amex, check, master card, visa",2025-12-10,https://www.yellowpages.com/new-york-ny/mip/purity-process-restoration-482567506
Max Plumbing and Heating,(718) 269-6423,"3401 45th St",Long Island City,NY,"11101","Air Conditioning Contractors & Systems, Heating Contractors & Specialties, Plumbers",mestreinc@aol.com,http://www.maxplumbingandheating.info,,,2025-12-10,https://www.yellowpages.com/long-island-city-ny/mip/max-plumbing-and-heating-580152206
AMC Plumbing Heatingand Cooling Inc,(212) 226-8320,"22 Rutgers Slip",New York,NY,"10002",Plumbers,,,,,2025-12-10,https://www.yellowpages.com/new-york-ny/mip/amc-plumbing-heatingand-cooling-inc-553856170
Aabc Plumbing,"(866) 604-8613, (866) 619-5144, (866) 880-8952","12 Park Pl",New York,NY,"10007",Plumbers,,http://yellowpages.com/kings-county-ny/mip/aladdin-plumbing-corp-548289617,"Mon - Sun: 12:00 pm - 12:00 am, Mon - Sun: 12:00 pm - 12:00 am, Mon - Sun: 12:00 pm - 12:00 am",,2025-12-10,https://www.yellowpages.com/new-york-ny/mip/aabc-plumbing-521216331
Paul Quinn Plumbing & Heating Inc,(212) 244-0298,"361 W 36th St",New York,NY,"10018","Air Conditioning Contractors & Systems, Heating Contractors & Specialties, Plumbers",,,,,2025-12-06,https://www.yellowpages.com/new-york-ny/mip/paul-quinn-plumbing-heating-inc-4600321
SJP Plumbing & Heating Contractors,(929) 283-3199,"1424 Saint Johns Pl",Brooklyn,NY,"11213","Air Conditioning Contractors & Systems, Heating Contractors & Specialties, Plumbers, Sewer Contractors",,http://sjpplumbingheatingcontractors.localsearch.com,"Mon - Sun: Open 24 Hours, Mon - Sun: Open 24 Hours, Mon - Sun: Open 24 Hours, Mon - Sun: Open 24 Hours, Mon - Sun: Open 24 Hours, Mon - Sun: Open 24 Hours, Mon - Sun: Open 24 Hours, Mon - Sun: Open 24 Hours, Mon - Sun: Open 24 Hours, Mon - Sun: Open 24 Hours, Mon - Sun: Open 24 Hours, Mon - Sun: Open 24 Hours, Mon - Sun: Open 24 Hours, Mon - Sun: Open 24 Hours, Mon - Sun: Open 24 Hours, Mon - Sun: Open 24 Hours","all major credit cards, cash, check, debit",2025-12-10,https://www.yellowpages.com/brooklyn-ny/mip/sjp-plumbing-heating-contractors-505243100
Tri Borough Plumbing,(718) 576-6204,"1283 Sterling Pl",Brooklyn,NY,"11213",Plumbers,,http://triboroughplumbing.localsearch.com,,,2025-12-10,https://www.yellowpages.com/brooklyn-ny/mip/tri-borough-plumbing-523920556
Hamiltonair Co Inc,"(212) 302-2301, (212) 682-2710","545 8th Ave",New York,NY,"10018","Air Conditioning Contractors & Systems, Heating Contractors & Specialties, Plumbers, Refrigerating Equipment-Commercial & Industrial-Servicing",,http://www.hamiltonair.com,"Mon - Tue: 8:00 am - 5:00 pm, Mon - Tue: 8:00 am - 5:00 pm, Mon - Tue: 8:00 am - 5:00 pm, Mon - Tue: 8:00 am - 5:00 pm, Mon - Tue: 8:00 am - 5:00 pm, Mon - Tue: 8:00 am - 5:00 pm, Mon - Tue: 8:00 am - 5:00 pm, Mon - Tue: 8:00 am - 5:00 pm, Thu - Fri: 8:00 am - 5:00 pm, Thu - Fri: 8:00 am - 5:00 pm, Thu - Fri: 8:00 am - 5:00 pm, Thu - Fri: 8:00 am - 5:00 pm, Thu - Fri: 8:00 am - 5:00 pm, Thu - Fri: 8:00 am - 5:00 pm, Thu - Fri: 8:00 am - 5:00 pm, Thu - Fri: 8:00 am - 5:00 pm, Wed: 8:00 am - 5:30 pm, Wed: 8:00 am - 5:30 pm, Wed: 8:00 am - 5:30 pm, Wed: 8:00 am - 5:30 pm, Wed: 8:00 am - 5:30 pm, Wed: 8:00 am - 5:30 pm, Wed: 8:00 am - 5:30 pm, Wed: 8:00 am - 5:30 pm",,2025-12-06,https://www.yellowpages.com/new-york-ny/mip/hamiltonair-co-inc-464828291
S & S Plumbing Corp,"(718) 361-5706, (718) 707-0505","3110 37th Ave",Long Island City,NY,"11101",Plumbers,,http://ssplumbingcorp.localsearch.com,,,2025-12-10,https://www.yellowpages.com/long-island-city-ny/mip/s-s-plumbing-corp-500686621
Greenpoint Ave Plumbing and Heating,(718) 269-1687,"3610 Greenpoint Ave",Long Island City,NY,"11101","Air Conditioning Contractors & Systems, Heating Contractors & Specialties, Plumbers",,http://greenpointaveplumbingandheating.localsearch.com,,,2025-12-10,https://www.yellowpages.com/long-island-city-ny/mip/greenpoint-ave-plumbing-and-heating-470028674
Vuksani Service Group,(212) 949-0000,"2643 18th St",Astoria,NY,"11102",Plumbers,,https://vuksanillc.co,,,2025-12-10,https://www.yellowpages.com/astoria-ny/mip/vuksani-service-group-565954543
Boerum Hill Plumbing & Heating,(929) 283-3185,"402 Atlantic Ave",Brooklyn,NY,"11217","Air Conditioning Contractors & Systems, Heating Contractors & Specialties, Plumbers",,http://boerumhillplumbingheating.localsearch.com,"Mon - Sun: 12:00 pm - 12:00 am, Mon - Sun: 12:00 pm - 12:00 am, Mon - Sun: 12:00 pm - 12:00 am",,2025-12-10,https://www.yellowpages.com/brooklyn-ny/mip/boerum-hill-plumbing-heating-545520267
