"name","phones","street","city","state","zipcode","categories","email","website","working_hours","payment_methods","extraction_date","original_listing_url"
Rescue Plumbing,(773) 839-8252,"5141 N Lincoln Ave",Chicago,IL,"60625",Plumbers,office@myrescueplumbing.com,https://www.myrescueplumbing.com,,"amex, cash, debit, discover, financing available, master card, visa",2025-12-12,https://www.yellowpages.com/chicago-il/mip/rescue-plumbing-571068150
Hydro Genie Sewer & Drain Experts,(847) 485-1180,"7953 S King Dr",Chicago,IL,"60619",Plumbers,,https://www.metalocal.com/business/999-88901440,,,2025-12-12,https://www.yellowpages.com/chicago-il/mip/hydro-genie-sewer-drain-experts-573727730
African Wonderland Imports,(773) 334-2293,"1002 W Leland Ave",Chicago,IL,"60640","Building Contractors-Commercial & Industrial, Plumbers",,http://yellowpages.com/chicago-il/mip/fine-trading-641982,"Mon: 8:00 am - 9:00 pm, Mon: 8:00 am - 9:00 pm, Sat: 8:00 am - 5:00 pm, Sat: 8:00 am - 5:00 pm, Tue - Fri: 8:00 am - 6:00 pm, Tue - Fri: 8:00 am - 6:00 pm",,2025-12-12,https://www.yellowpages.com/chicago-il/mip/african-wonderland-imports-458639395
"QC Enterprises, Inc","(312) 842-0230, (312) 842-0231","2722 S Hillock Ave",Chicago,IL,"60608","Building Contractors-Commercial & Industrial, General Contractors, Plumbers, Real Estate Developers, Road Building Contractors",sandy@qcenterprises.com,https://qcenterprises.com,,,2025-12-12,https://www.yellowpages.com/chicago-il/mip/qc-enterprises-inc-897596
Electrical & Plumbing Services,(708) 715-7212,"113 S Grove Ave",Oak Park,IL,"60302",Plumbers,,http://electricalplumbingservices.localsearch.com,,,2025-12-12,https://www.yellowpages.com/oak-park-il/mip/electrical-plumbing-services-472256901
Clearview Plumbing & Sewer,"(708) 240-3298, (708) 445-1741","707 Garfield St Ste A",Oak Park,IL,"60304",Plumbers,,http://clearviewplumbingsewer454588790.localsearch.com,,,2025-12-12,https://www.yellowpages.com/oak-park-il/mip/clearview-plumbing-sewer-454588790
Laramie Avenue Plumbing,(708) 391-2322,"1601 S Laramie Ave",Cicero,IL,"60804",Plumbers,,http://laramieavenueplumbing.localsearch.com,,,2025-12-12,https://www.yellowpages.com/cicero-il/mip/laramie-avenue-plumbing-482104834
Poplar Avenue Plumbing,(773) 585-4951,"2727 S Poplar Ave",Chicago,IL,"60608",Plumbers,,http://poplaravenueplumbing.localsearch.com,,,2025-12-12,https://www.yellowpages.com/chicago-il/mip/poplar-avenue-plumbing-497006998
Blanton Duane Plumbing & Sewer,"(773) 227-7683, (773) 539-9411","2339 W Montrose Ave",Chicago,IL,"60618",Plumbers,,http://www.duaneblantonplumbing.com,,"amex, discover, master card, visa",2025-12-12,https://www.yellowpages.com/chicago-il/mip/blanton-duane-plumbing-sewer-560400814
Brian's Plumbing and Sewer Inc,"(773) 481-2895, (773) 853-0441","5772 W Higgins Ave",Chicago,IL,"60630","Plumbers, Plumbing-Drain & Sewer Cleaning, Sewer Cleaners & Repairers",brianwoodsplumbing@gmail.com,http://briansplumbingandsewerinc.localsearch.com,"Mon - Fri: 7:00 am - 4:00 pm, Mon - Fri: 7:00 am - 4:00 pm, Mon - Fri: 7:00 am - 4:00 pm, Mon - Fri: 7:00 am - 4:00 pm, Mon - Fri: 7:00 am - 4:00 pm, Mon - Fri: 7:00 am - 4:00 pm",,2025-12-12,https://www.yellowpages.com/chicago-il/mip/brians-plumbing-and-sewer-inc-469385509
Madden's Around the Clock Sewer Service,"(773) 583-2750, (773) 583-3874, (773) 588-7534","4152 N Western Ave",Chicago,IL,"60618","Plumbers, Sewer Cleaners & Repairers, Sewer Contractors",maddensewer@gmail.com,http://www.maddensewer.net,"Mon - Sun: 12:00 pm - 12:00 am, Mon - Sun: 12:00 pm - 12:00 am, Mon - Sun: 12:00 pm - 12:00 am, Mon - Sun: 12:00 pm - 12:00 am, Mon - Sun: 12:00 pm - 12:00 am, Mon - Sun: 12:00 pm - 12:00 am, Mon - Sun: 12:00 pm - 12:00 am, Mon - Sun: 12:00 pm - 12:00 am, Mon - Sun: 12:00 pm - 12:00 am",,2025-12-12,https://www.yellowpages.com/chicago-il/mip/maddens-around-the-clock-sewer-service-479797496
Sawyer Ave Sewer and Drain,(773) 299-9149,"2357 S Sawyer Ave",Chicago,IL,"60623","Plumbers, Plumbing-Drain & Sewer Cleaning, Sewer Cleaners & Repairers",,http://sawyeraveseweranddrain.localsearch.com,,,2025-12-12,https://www.yellowpages.com/chicago-il/mip/sawyer-ave-sewer-and-drain-503664857
Andy Stiff & Sons Plumbing,(773) 731-7971,"1659 E 86th Pl",Chicago,IL,"60617",Plumbers,,http://yellowpages.com/chicago-il/mip/smith-plumbing-sewer-477357235,,"discover, master card, visa",2025-12-12,https://www.yellowpages.com/chicago-il/mip/andy-stiff-sons-plumbing-19146082
Totalease Chicago Plumbers,(773) 923-2487,"5714 W Grand Ave",Chicago,IL,"60639",Plumbers,,http://totaleasechicagoplumbers.localsearch.com,"Mon - Sun: 8:00 am - 8:00 pm, Mon - Sun: 8:00 am - 8:00 pm, Mon - Sun: 8:00 am - 8:00 pm, Mon - Sun: 8:00 am - 8:00 pm","amex, cash, master card, visa",2025-12-12,https://www.yellowpages.com/chicago-il/mip/totalease-chicago-plumbers-573027838
Brandenburger Plumbing Inc,(773) 779-8350,"3319 W 112th Pl",Chicago,IL,"60655",Plumbers,,http://brandenburgerplumbingincil.localsearch.com,,,2025-12-12,https://www.yellowpages.com/chicago-il/mip/brandenburger-plumbing-inc-528876917
Call First Ltd Sewer & Drainage,(773) 777-3333,"5103 W Grace St",Chicago,IL,"60641","Plumbers, Sewer Cleaners & Repairers, Sewer Contractors",,http://callfirstltdsewerdrainage.localsearch.com,,,2025-12-12,https://www.yellowpages.com/chicago-il/mip/call-first-ltd-sewer-drainage-482690096
Boiler Room Plumber,(708) 581-6196,"6717 W 79th St",Burbank,IL,"60459",Plumbers,,,,,2025-12-12,https://www.yellowpages.com/burbank-il/mip/boiler-room-plumber-560422903
Primetime Plumber Chicago Il,(708) 980-0277,"3973 S Archer Ave",Chicago,IL,"60632","Drainage Contractors, Leak Detecting Service, Plumbers, Plumbing-Drain & Sewer Cleaning",,https://primetimeplumberchicagoil.com,"Mon - Sun: 7:00 am - 7:30 pm, Mon - Sun: 7:00 am - 7:30 pm, Mon - Sun: 7:00 am - 7:30 pm, Mon - Sun: 7:00 am - 7:30 pm, Mon - Sun: 7:00 am - 7:30 pm, Mon - Sun: 7:00 am - 7:30 pm, Mon - Sun: 7:00 am - 7:30 pm, Mon - Sun: 7:00 am - 7:30 pm, Mon - Sun: 7:00 am - 7:30 pm, Mon - Sun: 7:00 am - 7:30 pm, Mon - Sun: 7:00 am - 7:30 pm, Mon - Sun: 7:00 am - 7:30 pm, Mon - Sun: 7:00 am - 7:30 pm, Mon - Sun: 7:00 am - 7:30 pm, Mon - Sun: 7:00 am - 7:30 pm, Mon - Sun: 7:00 am - 7:30 pm","amex, cash, master card, visa",2025-12-12,https://www.yellowpages.com/chicago-il/mip/primetime-plumber-chicago-il-573033034
Hermitage Ave Sewer and Drain,(773) 299-9141,"4456 S Hermitage Ave",Chicago,IL,"60609","Plumbers, Plumbing-Drain & Sewer Cleaning, Sewer Cleaners & Repairers",,http://yellowpages.com/chicago-il/mip/hermitage-ave-sewer-and-drain-496944661,,,2025-12-12,https://www.yellowpages.com/chicago-il/mip/hermitage-ave-sewer-and-drain-496944661
Jennings Plumbing Services,(773) 466-2691,"6500 N Clark St",Chicago,IL,"60626",Plumbers,,https://voxservices.net,Mon - Sun: 6:00 am - 12:00 am,,2025-12-12,https://www.yellowpages.com/chicago-il/mip/jennings-plumbing-services-580142901
